id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	absolute error	0.0623	0.5358	3	211	530	39	2021.8974	21.1538	0.9689
2	account	-0.3959	0.1614	3	112	142	13	2022.0769	11.3077	1.3458
3	accurate estimation	0.1557	0.5209	3	87	115	12	2022.1667	19	1.7964
4	accurate monitoring	-0.3743	-0.3122	2	105	147	16	2022.75	9.375	0.8474
5	advance	-0.1438	-0.5412	2	203	503	51	2020.8824	36.451	1.7471
6	advancement	-0.6377	-0.5426	2	176	390	42	2023.0952	14.7619	1.3592
7	aerodynamic diameter	1.1675	0.6584	1	100	190	13	2020.3846	36.8462	1.1701
8	aerosol	0.902	-0.2894	1	171	445	38	2020.8158	13.1053	0.6653
9	aerosol optical depth	1.0115	0.4024	1	236	1348	96	2020.7188	33.3646	1.089
10	agreement	1.1098	-0.1484	1	127	252	22	2019.4545	29.8636	1.0692
11	agriculture	-0.4841	-0.5119	2	195	467	46	2021.5652	15.9783	0.8552
12	air	0.3568	-0.3577	2	178	346	36	2021.1389	15.7222	1.2137
13	air pollutant	0.917	0.0377	1	231	776	69	2021.7826	16.6232	0.9408
14	air pollution	0.7268	-0.0349	1	274	1578	159	2021.2327	19.9874	0.9193
15	air quality	0.8371	-0.2021	1	259	1301	123	2020.8049	24.252	1.0648
16	air quality management	0.9007	0.2456	1	119	229	21	2021	17	0.6797
17	air quality monitoring	0.6017	-0.1617	1	178	400	41	2021.5122	14.3415	0.8357
18	air quality monitoring station	0.6716	0.3122	1	149	303	25	2020.96	26.2	0.8888
19	ann	-0.4721	0.2266	2	216	528	41	2022.2195	19.6098	0.9327
20	anthropogenic activity	-0.4415	-0.3779	2	104	158	15	2023	11.1333	1.2125
21	aod	1.0286	0.4628	1	217	1177	83	2020.8795	36.1205	1.1446
22	architecture	-0.0483	-0.3292	2	172	325	38	2021.6842	27.0526	1.1431
23	article	-0.1684	-0.372	2	240	549	61	2021.3934	26.1311	1.8221
24	artificial intelligence	-0.2675	-0.6625	2	198	575	71	2022.5775	15.8451	1.7481
25	artificial neural network	-0.3732	0.1565	2	235	617	48	2022.0625	20.5833	0.946
26	aspect	-0.1208	-0.5857	2	180	325	40	2021.85	19.675	1.5736
27	association	0.6252	0.2124	1	139	239	24	2021.125	26.4167	1.1929
28	atmosphere	0.5486	-0.3506	1	239	670	59	2020.9153	16.322	0.7513
29	autumn	0.5734	0.6922	1	136	267	18	2021.6667	10.2222	0.7202
30	band	-0.9224	-0.0706	3	240	898	68	2021.8088	16.2647	0.7861
