1	2	3
1	3	1
1	4	1
1	7	1
1	8	1
1	9	7
1	11	2
1	12	1
1	13	5
1	14	11
1	15	2
1	16	2
1	17	3
1	18	2
1	19	4
1	21	7
1	22	1
1	23	2
1	25	4
1	28	2
1	29	2
1	30	4
1	31	1
1	32	1
1	33	2
1	35	1
1	39	1
1	41	1
1	42	2
1	43	2
1	46	4
1	47	2
1	48	3
1	49	2
1	50	2
1	51	12
1	54	1
1	55	1
1	56	8
1	58	1
1	59	1
1	62	2
1	63	2
1	65	1
1	67	4
1	68	1
1	70	9
1	71	1
1	72	2
1	75	1
1	77	1
1	78	2
1	79	4
1	80	1
1	84	1
1	85	1
1	86	1
1	87	2
1	89	1
1	90	3
1	91	3
1	92	2
1	93	1
1	94	4
1	97	1
1	98	1
1	101	1
1	103	1
1	106	3
1	107	4
1	109	1
1	111	3
1	112	5
1	113	4
1	115	2
1	118	1
1	119	1
1	120	1
1	123	3
1	124	1
1	125	3
1	126	3
1	130	1
1	131	9
1	132	4
1	134	1
1	135	1
1	136	3
1	138	1
1	139	1
1	142	2
1	144	1
1	145	2
1	146	1
1	148	2
1	150	2
1	151	2
1	152	1
1	154	3
1	156	2
1	157	27
1	158	3
1	161	4
1	162	1
1	163	3
1	164	2
1	165	3
1	167	3
1	169	2
1	172	1
1	173	4
1	174	1
1	175	2
1	176	3
1	177	1
1	178	1
1	180	2
1	182	2
1	183	3
1	184	2
1	186	2
1	192	2
1	194	1
1	196	3
1	198	4
1	199	3
1	202	2
1	204	3
1	205	4
1	206	8
1	207	2
1	210	2
1	211	1
1	213	1
1	214	2
1	215	3
1	216	3
1	217	1
1	220	2
1	221	1
1	223	5
1	226	1
1	228	3
1	229	2
1	230	2
1	231	1
1	232	1
1	233	1
1	234	6
1	235	4
1	236	2
1	237	1
1	238	3
1	239	9
1	240	8
1	244	2
1	245	1
1	246	5
1	247	1
1	248	2
1	252	4
1	253	1
1	255	2
1	256	1
1	258	1
1	259	1
1	260	1
1	263	1
1	265	7
1	266	1
1	267	1
1	268	1
1	271	1
1	272	1
1	273	3
1	277	6
1	278	1
1	279	2
1	280	2
1	281	2
1	283	4
1	285	1
1	286	1
1	287	6
1	289	2
1	290	1
1	291	1
1	292	1
1	293	1
1	294	4
1	298	1
1	300	2
1	301	1
1	302	5
1	307	4
1	308	2
1	309	1
1	311	1
1	312	3
1	313	1
1	316	1
1	317	1
1	318	2
1	319	3
1	320	4
1	322	1
1	323	2
1	324	2
1	328	1
1	330	3
1	333	3
2	3	1
2	5	1
2	6	1
2	9	1
2	10	1
2	11	1
2	12	1
2	13	3
2	14	3
2	21	1
2	22	1
2	24	1
2	30	1
2	35	1
2	36	1
2	39	1
2	41	1
2	42	1
2	43	1
2	50	1
2	51	4
2	56	1
2	57	1
2	58	1
2	61	1
2	63	1
2	65	1
2	68	1
2	69	1
2	70	3
2	72	2
2	73	1
2	78	1
2	79	1
2	85	2
2	90	1
2	107	1
2	111	1
2	118	2
2	119	1
2	120	1
2	124	1
2	128	2
2	131	1
2	134	1
2	136	1
2	137	1
2	138	1
2	148	3
2	156	1
2	157	1
2	159	1
2	168	1
2	169	1
2	171	1
2	172	1
2	173	2
2	176	1
2	177	1
2	178	1
2	182	1
2	193	1
2	196	1
2	198	1
2	201	1
2	204	1
2	205	2
2	207	1
2	211	1
2	212	3
2	219	1
2	221	1
2	231	1
2	233	1
2	234	1
2	235	1
2	236	1
2	239	3
2	240	1
2	241	1
2	246	1
2	248	1
2	252	1
2	259	2
2	262	1
2	266	1
2	268	3
2	272	1
2	274	1
2	275	1
2	279	4
2	280	1
2	281	1
2	287	1
2	288	1
2	303	1
2	304	1
2	308	1
2	309	1
2	311	1
2	312	2
2	317	1
2	319	1
2	320	1
2	323	1
2	324	1
2	325	1
2	327	1
2	328	1
2	329	1
2	331	1
3	4	1
3	5	1
3	7	1
3	9	1
3	13	1
3	14	3
3	15	1
3	17	1
3	23	1
3	35	1
3	40	1
3	48	1
3	51	4
3	56	1
3	57	1
3	59	1
3	62	1
3	68	1
3	70	4
3	71	1
3	74	1
3	78	2
3	81	1
3	87	1
3	88	1
3	89	2
3	90	1
3	91	1
3	92	1
3	94	1
3	96	1
3	97	1
3	107	1
3	110	1
3	111	2
3	112	1
3	124	1
3	131	2
3	134	2
3	143	1
3	145	2
3	146	1
3	149	1
3	150	1
3	151	1
3	152	1
3	156	1
3	158	1
3	159	1
3	161	1
3	162	1
3	163	1
3	167	1
3	173	1
3	174	1
3	175	1
3	176	3
3	177	1
3	186	1
3	192	1
3	196	1
3	198	1
3	204	1
3	205	2
3	209	1
3	223	2
3	229	1
3	232	1
3	234	2
3	235	1
3	239	2
3	240	2
3	246	2
3	247	2
3	249	1
3	267	1
3	276	1
3	278	1
3	279	2
3	280	2
3	285	2
3	289	2
3	294	1
3	307	1
3	333	2
4	5	1
4	11	1
4	13	2
4	14	2
4	22	1
4	23	1
4	24	2
4	26	2
4	29	1
4	30	2
4	38	1
4	39	1
4	40	1
4	47	1
4	49	1
4	51	1
4	56	1
4	58	1
4	67	2
4	69	1
4	71	1
4	77	2
4	78	2
4	86	2
4	87	1
4	90	1
4	92	1
